#gene	refseq	ensembl
OR4F5	NM_001005484.2	ENST00000641515.2
H3C4	NM_001376937.1	ENST00000356476.3
H2AC7	NM_021065.3	ENST00000341023.2
H2BC7	NM_003522.4	ENST00000356530.6
H4C5	NM_003545.4	ENST00000615164.3
H2BC8	NM_003518.4	ENST00000541790.4
H2AC8	NM_021052.4	ENST00000303910.5
H3C6	NM_003532.3	ENST00000614911.3
H1-3	NM_005320.3	ENST00000244534.7
H4C6	NM_003540.4	ENST00000244537.6
H4C7	NM_003547.3	ENST00000611444.2
H3C7	NM_021018.3	ENST00000618052.2
H2BC9	NM_003524.3	ENST00000619466.3
H3C8	NM_003534.3	ENST00000614378.2
H2BC10	NM_003525.3	ENST00000377733.4
H4C8	NM_003543.4	ENST00000377727.2
BTN3A2	NM_007047.5	ENST00000377708.7
BTN2A2	NM_006995.5	ENST00000356709.9
BTN3A1	NM_007048.6	ENST00000289361.11
BTN3A3	NM_006994.5	ENST00000244519.7
BTN2A1	NM_007049.5	ENST00000312541.10
BTN1A1	NM_001732.3	ENST00000684113.1
HMGN4	NM_006353.3	ENST00000377575.3
ABT1	NM_013375.4	ENST00000274849.3
ZNF322	NM_024639.5	ENST00000415922.7
H2BC11	NM_021058.4	ENST00000339812.3
H2AC11	NM_021064.5	ENST00000359193.4
H2BC12	NM_001312653.2	ENST00000356950.2
H4C9	NM_003495.3	ENST00000615353.2
H2AC12	NM_080596.3	ENST00000377459.3
PRSS16	NM_005865.4	ENST00000230582.8
POM121L2	NM_033482.4	ENST00000444565.2
ZNF391	NM_001076781.3	ENST00000244576.9
ZNF184	NM_001318891.2	ENST00000683788.1
H2BC13	NM_003519.4	ENST00000377401.4
H2AC13	NM_003509.3	ENST00000358739.5
H3C10	NM_003536.3	ENST00000685041.1
H2AC14	NM_021066.3	ENST00000333151.5
H2BC14	NM_003521.3	ENST00000621112.2
H4C11	NM_021968.4	ENST00000355057.3
H4C12	NM_003541.3	ENST00000611927.2
H2AC15	NM_003510.3	ENST00000618958.2
H2BC15	NM_003520.4	ENST00000612898.2
H2AC16	NM_003511.3	ENST00000613174.2
H1-5	NM_005322.3	ENST00000331442.5
H3C11	NM_003533.3	ENST00000616365.2
H4C13	NM_003546.3	ENST00000618305.2
H3C12	NM_003535.3	ENST00000359303.4
H2AC17	NM_003514.2	ENST00000359611.4
H2BC17	NM_003527.4	ENST00000616182.2
OR2B2	NM_033057.2	ENST00000303324.4
OR2B6	NM_012367.1	ENST00000244623.1
ZNF165	NM_001376491.1	ENST00000683778.1
ZSCAN16	NM_025231.3	ENST00000340487.5
ZKSCAN8	NM_006298.4	ENST00000330236.7
ZSCAN9	NM_006299.5	ENST00000252207.10
ZKSCAN4	NM_019110.5	ENST00000377294.3
NKAPL	NM_001007531.3	ENST00000343684.4
ZSCAN26	NM_001023560.4	ENST00000421553.7
PGBD1	NM_032507.4	ENST00000682144.1
ZSCAN31	NM_030899.5	ENST00000344279.11
ZKSCAN3	NM_024493.4	ENST00000252211.7
ZSCAN12	NM_001163391.2	ENST00000684592.1
ZSCAN23	NM_001012455.2	ENST00000289788.5
GPX6	NM_182701.1	ENST00000361902.5
GPX5	NM_001509.3	ENST00000412168.7
SCAND3	NM_052923.2	ENST00000452236.3
TRIM27	NM_006510.5	ENST00000377199.4
ZNF311	NM_001382360.1	ENST00000377179.4
OR2W1	NM_030903.3	ENST00000377175.2
OR2B3	NM_001005226.2	ENST00000377173.4
OR2J1	NM_001348294.2	ENST00000641659.2
OR2J3	NM_001005216.4	ENST00000641151.2
OR2J2	NM_030905.3	ENST00000641417.1
OR14J1	NM_030946.2	ENST00000641895.1
OR5V1	NM_030876.6	ENST00000641768.1
OR12D3	NM_030959.3	ENST00000396806.3
OR12D2	NM_013936.4	ENST00000642051.1
OR11A1	NM_001394828.1	ENST00000377149.5
OR10C1	NM_013941.4	ENST00000444197.3
OR2H1	NM_030883.5	ENST00000377133.6
MAS1L	NM_052967.2	ENST00000377127.4
OR2I1P	NM_001396058.1	ENST00000641137.2
UBD	NM_006398.4	ENST00000377050.5
OR2H2	NM_007160.4	ENST00000641840.1
GABBR1	NM_001470.4	ENST00000377034.9
MOG	NM_206809.4	ENST00000376917.8
ZFP57	NM_001109809.5	ENST00000376883.2
HLA-F	NM_001098479.2	ENST00000259951.12
HLA-G	NM_001384290.1	ENST00000360323.11
HLA-A	NM_002116.8	ENST00000376809.10
POLR1H	NM_170783.4	ENST00000332435.10
PPP1R11	NM_021959.3	ENST00000376772.8
RNF39	NM_025236.4	ENST00000244360.8
TRIM31	NM_007028.5	ENST00000376734.4
TRIM40	NM_001286633.2	ENST00000396581.6
TRIM10	NM_006778.4	ENST00000449742.7
TRIM15	NM_033229.3	ENST00000376694.9
TRIM26	NM_003449.5	ENST00000454678.7
TRIM39	NM_001369521.2	ENST00000396551.9
RPP21	NM_024839.4	ENST00000442966.7
HLA-E	NM_005516.6	ENST00000376630.5
GNL1	NM_005275.5	ENST00000376621.8
PRR3	NM_025263.4	ENST00000376560.8
ABCF1	NM_001025091.2	ENST00000326195.13
PPP1R10	NM_002714.4	ENST00000376511.7
MRPS18B	NM_014046.4	ENST00000259873.5
ATAT1	NM_001413067.1	ENST00000376485.9
C6orf136	NM_001161376.2	ENST00000651131.1
DHX16	NM_003587.5	ENST00000376442.8
PPP1R18	NM_133471.4	ENST00000274853.8
NRM	NM_001384369.1	ENST00000376421.7
MDC1	NM_014641.3	ENST00000376406.8
TUBB	NM_178014.4	ENST00000327892.13
FLOT1	NM_005803.4	ENST00000376389.8
IER3	NM_003897.4	ENST00000259874.6
DDR1	NM_001297654.2	ENST00000376568.8
GTF2H4	NM_001517.5	ENST00000259895.9
VARS2	NM_020442.6	ENST00000676266.1
SFTA2	NM_205854.3	ENST00000359086.4
MUCL3	NM_080870.4	ENST00000462446.6
MUC21	NM_001010909.5	ENST00000376296.3
MUC22	NM_001395414.1	ENST00000561890.1
C6orf15	NM_014070.3	ENST00000259870.4
PSORS1C1	NM_014068.3	ENST00000259881.10
CDSN	NM_001264.5	ENST00000376288.3
PSORS1C2	NM_014069.3	ENST00000259845.5
CCHCR1	NM_001105564.2	ENST00000396268.8
TCF19	NM_007109.3	ENST00000376257.8
POU5F1	NM_002701.6	ENST00000259915.13
HLA-C	NM_002117.6	ENST00000376228.10
HLA-B	NM_005514.8	ENST00000412585.7
MICA	NM_001177519.3	ENST00000449934.7
MICB	NM_005931.5	ENST00000252229.7
MCCD1	NM_001011700.3	ENST00000376191.3
DDX39B	NM_004640.7	ENST00000396172.6
ATP6V1G2	NM_130463.4	ENST00000303892.10
NFKBIL1	NM_005007.4	ENST00000376148.9
LTA	NM_000595.4	ENST00000418386.3
TNF	NM_000594.4	ENST00000449264.3
LTB	NM_002341.2	ENST00000429299.3
LST1	NM_205839.3	ENST00000438075.7
NCR3	NM_147130.3	ENST00000340027.10
AIF1	NM_001623.5	ENST00000376059.8
PRRC2A	NM_004638.4	ENST00000376033.3
BAG6	NM_001387994.1	ENST00000676615.2
APOM	NM_019101.3	ENST00000375916.4
C6orf47	NM_021184.4	ENST00000375911.2
GPANK1	NM_033177.4	ENST00000375896.9
CSNK2B	NM_001320.7	ENST00000375882.7
LY6G5B	NM_021221.3	ENST00000375864.5
LY6G5C	NM_025262.4	ENST00000383237.5
ABHD16A	NM_021160.3	ENST00000395952.8
LY6G6F	NM_001003693.3	ENST00000375832.5
LY6G6D	NM_021246.4	ENST00000375825.8
LY6G6C	NM_025261.3	ENST00000375819.3
MPIG6B	NM_138272.3	ENST00000649779.1
DDAH2	NM_001303007.2	ENST00000375789.7
CLIC1	NM_001288.6	ENST00000375784.8
MSH5	NM_172166.4	ENST00000375750.9
SAPCD1	NM_001039651.2	ENST00000415669.4
VWA7	NM_025258.3	ENST00000375688.5
VARS1	NM_006295.3	ENST00000375663.8
LSM2	NM_021177.5	ENST00000375661.6
HSPA1L	NM_005527.4	ENST00000375654.5
HSPA1A	NM_005345.6	ENST00000375651.7
HSPA1B	NM_005346.6	ENST00000375650.5
NEU1	NM_000434.4	ENST00000375631.5
SLC44A4	NM_025257.3	ENST00000229729.11
EHMT2	NM_006709.5	ENST00000375537.9
C2	NM_000063.6	ENST00000299367.10
ZBTB12	NM_181842.3	ENST00000375527.3
CFB	NM_001710.6	ENST00000425368.7
NELFE	NM_002904.6	ENST00000375429.8
SKIC2	NM_006929.5	ENST00000375394.7
DXO	NM_005510.4	ENST00000337523.10
STK19	NM_004197.2	ENST00000685781.1
C4A	NM_007293.3	ENST00000428956.7
C4B	NM_001002029.4	ENST00000435363.7
CYP21A2	NM_000500.9	ENST00000644719.2
TNXB	NM_001365276.2	ENST00000644971.2
ATF6B	NM_004381.5	ENST00000375203.8
FKBPL	NM_022110.4	ENST00000375156.4
PRRT1	NM_030651.4	ENST00000211413.10
PPT2	NM_005155.7	ENST00000324816.11
EGFL8	NM_030652.4	ENST00000333845.11
AGPAT1	NM_006411.4	ENST00000375107.8
RNF5	NM_006913.4	ENST00000375094.4
AGER	NM_001136.5	ENST00000375076.9
PBX2	NM_002586.5	ENST00000375050.6
GPSM3	NM_001276501.2	ENST00000375040.8
NOTCH4	NM_004557.4	ENST00000375023.3
TSBP1	NM_001286474.2	ENST00000533191.6
BTNL2	NM_001304561.2	ENST00000454136.8
HLA-DRA	NM_019111.5	ENST00000395388.7
HLA-DRB5	NM_002125.4	ENST00000374975.4
HLA-DRB1	NM_002124.4	ENST00000360004.6
HLA-DQA1	NM_002122.5	ENST00000343139.11
HLA-DQB1	NM_002123.5	ENST00000434651.7
HLA-DQA2	NM_020056.5	ENST00000374940.4
HLA-DQB2	NM_001300790.2	ENST00000437316.7
HLA-DOB	NM_002120.4	ENST00000438763.7
TAP2	NM_001290043.2	ENST00000374897.4
PSMB8	NM_148919.4	ENST00000374882.8
TAP1	NM_000593.6	ENST00000354258.5
PSMB9	NM_002800.5	ENST00000374859.3
HLA-DMB	NM_002118.5	ENST00000418107.3
HLA-DMA	NM_006120.4	ENST00000374843.9
BRD2	NM_005104.4	ENST00000374825.9
HLA-DOA	NM_002119.4	ENST00000229829.7
HLA-DPA1	NM_033554.4	ENST00000692443.1
HLA-DPB1	NM_002121.6	ENST00000418931.7
COL11A2	NM_080680.3	ENST00000341947.7
RXRB	NM_021976.5	ENST00000374680.4
SLC39A7	NM_006979.3	ENST00000374677.8
HSD17B8	NM_014234.5	ENST00000374662.4
RING1	NM_002931.4	ENST00000374656.5
VPS52	NM_022553.6	ENST00000445902.3
RPS18	NM_022551.3	ENST00000439602.7
B3GALT4	NM_003782.4	ENST00000451237.3
WDR46	NM_005452.6	ENST00000374617.9
PFDN6	NM_001185181.3	ENST00000374606.10
RGL2	NM_004761.5	ENST00000497454.6
TAPBP	NM_003190.5	ENST00000434618.7
ZBTB22	NM_005453.5	ENST00000431845.3
DAXX	NM_001141969.2	ENST00000374542.10
SMIM40	NM_001369203.1	ENST00000494082.3
KIFC1	NM_002263.4	ENST00000428849.7
PHF1	NM_024165.3	ENST00000374516.8
CUTA	NM_001014840.2	ENST00000488034.6
SYNGAP1	NM_006772.3	ENST00000646630.1
ZBTB9	NM_152735.4	ENST00000395064.3
BAK1	NM_001188.4	ENST00000374467.4
ITPR3	NM_002224.4	ENST00000605930.3
UQCC2	NM_032340.4	ENST00000607484.6
IP6K3	NM_054111.5	ENST00000293756.5
LEMD2	NM_181336.4	ENST00000293760.10
MLN	NM_002418.3	ENST00000430124.7
GRM4	NM_000841.4	ENST00000538487.7
HMGA1	NM_145899.3	ENST00000311487.9
SMIM29	NM_001008703.4	ENST00000476320.6
NUDT3	NM_006703.4	ENST00000607016.2
RPS10	NM_001014.5	ENST00000648437.1
PACSIN1	NM_020804.5	ENST00000244458.7
SPDEF	NM_012391.3	ENST00000374037.8
ILRUN	NM_024294.4	ENST00000374023.8
SNRPC	NM_003093.3	ENST00000244520.10
BLTP3A	NM_017754.4	ENST00000192788.6
TAF11	NM_005643.4	ENST00000361288.9
ANKS1A	NM_015245.3	ENST00000360359.5
TCP11	NM_001370687.1	ENST00000311875.11
SCUBE3	NM_152753.4	ENST00000274938.8
ZNF76	NM_003427.5	ENST00000373953.8
DEF6	NM_022047.4	ENST00000316637.7
PPARD	NM_006238.5	ENST00000360694.8
FANCE	NM_021922.3	ENST00000229769.3
RPL10A	NM_007104.5	ENST00000322203.7
TEAD3	NM_003214.4	ENST00000338863.13
TULP1	NM_003322.6	ENST00000229771.11
FKBP5	NM_004117.4	ENST00000357266.9
ARMC12	NM_001286574.2	ENST00000373866.4
CLPSL2	NM_207409.4	ENST00000403376.4
CLPSL1	NM_001010886.5	ENST00000373861.6
CLPS	NM_001832.4	ENST00000259938.7
LHFPL5	NM_182548.4	ENST00000360215.3
SRPK1	NM_003137.5	ENST00000373825.7
SLC26A8	NM_052961.4	ENST00000490799.6
MAPK14	NM_139012.3	ENST00000229794.9
MAPK13	NM_002754.5	ENST00000211287.9
BRPF3	NM_015695.3	ENST00000357641.10
PNPLA1	NM_001374623.1	ENST00000636260.2
BNIP5	NM_001010903.5	ENST00000437635.3
ETV7	NM_016135.4	ENST00000340181.9
PXT1	NM_152990.4	ENST00000454782.3
KCTD20	NM_173562.5	ENST00000373731.7
STK38	NM_007271.4	ENST00000229812.8
SRSF3	NM_003017.5	ENST00000373715.11
CDKN1A	NM_000389.5	ENST00000244741.10
RAB44	NM_001257357.2	ENST00000612677.6
CPNE5	NM_020939.2	ENST00000244751.7
PPIL1	NM_016059.5	ENST00000373699.6
C6orf89	NM_001286635.2	ENST00000480824.7
PI16	NM_153370.3	ENST00000373674.4
MTCH1	NM_001271641.2	ENST00000373627.10
FGD2	NM_173558.4	ENST00000274963.13
PIM1	NM_002648.4	ENST00000373509.6
TMEM217B	NM_001395378.1	ENST00000497775.2
TMEM217	NM_001286401.2	ENST00000651039.2
TBC1D22B	NM_017772.4	ENST00000373491.3
RNF8	NM_003958.4	ENST00000373479.9
CMTR1	NM_015050.3	ENST00000373451.9
CCDC167	NM_138493.3	ENST00000373408.4
MDGA1	NM_153487.4	ENST00000434837.8
ZFAND3	NM_021943.3	ENST00000287218.9
BTBD9	NM_001099272.2	ENST00000481247.6
GLO1	NM_006708.3	ENST00000373365.5
DNAH8	NM_001206927.2	ENST00000327475.11
GLP1R	NM_002062.5	ENST00000373256.5
SAYSD1	NM_018322.3	ENST00000229903.5
KCNK5	NM_003740.4	ENST00000359534.4
KCNK17	NM_031460.4	ENST00000373231.9
KCNK16	NM_001135106.2	ENST00000437525.3
KIF6	NM_145027.6	ENST00000287152.12
DAAM2	NM_001201427.2	ENST00000274867.9
MOCS1	NM_001358530.2	ENST00000340692.10
LRFN2	NM_020737.3	ENST00000338305.7
UNC5CL	NM_173561.3	ENST00000244565.8
TSPO2	NM_001010873.3	ENST00000373161.6
APOBEC2	NM_006789.4	ENST00000244669.3
OARD1	NM_001329686.2	ENST00000424266.7
NFYA	NM_002505.5	ENST00000341376.11
TREML1	NM_178174.4	ENST00000426005.7
TREM2	NM_018965.4	ENST00000373113.8
TREML2	NM_024807.4	ENST00000483722.2
TREML4	NM_198153.3	ENST00000341495.7
TREM1	NM_018643.5	ENST00000244709.9
NCR2	NM_004828.4	ENST00000373089.10
FOXP4	NM_001012426.2	ENST00000307972.10
MDFI	NM_005586.4	ENST00000230321.11
TFEB	NM_001271944.2	ENST00000373033.6
PGC	NM_002630.4	ENST00000373025.7
FRS3	NM_006653.5	ENST00000373018.7
PRICKLE4	NM_013397.6	ENST00000458694.6
TOMM6	NM_001382294.1	ENST00000398881.4
USP49	NM_001286554.2	ENST00000682992.1
MED20	NM_004275.5	ENST00000265350.9
BYSL	NM_004053.4	ENST00000230340.9
CCND3	NM_001760.5	ENST00000372991.9
TAF8	NM_138572.3	ENST00000372977.8
C6orf132	NM_001164446.3	ENST00000341865.9
CIMIP3	NM_001384994.1	ENST00000623004.2
GUCA1A	NM_001384910.1	ENST00000372958.2
GUCA1B	NM_002098.6	ENST00000230361.4
MRPS10	NM_018141.4	ENST00000053468.4
TRERF1	NM_001395490.1	ENST00000695948.1
UBR2	NM_001363705.2	ENST00000372901.2
PRPH2	NM_000322.5	ENST00000230381.7
TBCC	NM_003192.3	ENST00000372876.2
BICRAL	NM_001393499.1	ENST00000314073.10
RPL7L1	NM_001366481.3	ENST00000493763.7
C6orf226	NM_001008739.2	ENST00000408925.4
PTCRA	NM_138296.3	ENST00000304672.6
CNPY3	NM_006586.5	ENST00000372836.5
GNMT	NM_018960.6	ENST00000372808.4
PEX6	NM_000287.4	ENST00000304611.13
PPP2R5D	NM_006245.4	ENST00000485511.6
MEA1	NM_014623.4	ENST00000244711.4
KLHDC3	NM_057161.4	ENST00000326974.9
RRP36	NM_033112.4	ENST00000244496.6
CUL7	NM_014780.5	ENST00000265348.9
MRPL2	NM_015950.5	ENST00000388752.8
KLC4	NM_201521.3	ENST00000347162.10
PTK7	NM_002821.5	ENST00000230419.9
SRF	NM_003131.4	ENST00000265354.6
CUL9	NM_015089.4	ENST00000252050.9
DNPH1	NM_006443.3	ENST00000230431.11
TTBK1	NM_032538.3	ENST00000259750.9
SLC22A7	NM_153320.2	ENST00000372585.10
CRIP3	NM_206922.3	ENST00000372569.8
ZNF318	NM_014345.3	ENST00000361428.3
ABCC10	NM_001198934.2	ENST00000372530.9
DLK2	NM_023932.4	ENST00000372488.8
TJAP1	NM_001350562.2	ENST00000372449.6
LRRC73	NM_001012974.4	ENST00000372441.2
YIPF3	NM_015388.4	ENST00000372422.7
POLR1C	NM_203290.4	ENST00000642195.1
XPO5	NM_020750.3	ENST00000265351.12
POLH	NM_006502.3	ENST00000372236.9
GTPBP2	NM_019096.5	ENST00000307126.10
MAD2L1BP	NM_014628.3	ENST00000372171.5
RSPH9	NM_152732.5	ENST00000372163.5
MRPS18A	NM_018135.4	ENST00000372133.8
VEGFA	NM_003376.6	ENST00000672860.3
MRPL14	NM_032111.4	ENST00000372014.5
TMEM63B	NM_018426.3	ENST00000323267.11
CAPN11	NM_007058.4	ENST00000398776.2
MYMX	NM_001315494.2	ENST00000573382.3
SLC29A1	NM_001372327.1	ENST00000371755.9
HSP90AB1	NM_007355.4	ENST00000371646.10
SLC35B2	NM_178148.4	ENST00000393812.4
NFKBIE	NM_004556.3	ENST00000619360.6
TMEM151B	NM_001137560.2	ENST00000451188.7
TCTE1	NM_182539.4	ENST00000371505.5
AARS2	NM_020745.4	ENST00000244571.5
SPATS1	NM_001372081.1	ENST00000674044.1
CDC5L	NM_001253.4	ENST00000371477.4
SUPT3H	NM_003599.4	ENST00000371459.6
RUNX2	NM_001024630.4	ENST00000647337.2
CLIC5	NM_016929.5	ENST00000339561.12
ENPP4	NM_014936.5	ENST00000321037.5
ENPP5	NM_001290072.2	ENST00000371383.7
RCAN2	NM_001251974.2	ENST00000371374.6
CYP39A1	NM_016593.5	ENST00000275016.3
SLC25A27	NM_004277.5	ENST00000371347.10
TDRD6	NM_001010870.3	ENST00000316081.11
PLA2G7	NM_005084.4	ENST00000274793.12
ANKRD66	NM_001162435.3	ENST00000565422.3
MEP1A	NM_005588.3	ENST00000230588.9
ADGRF5	NM_001098518.2	ENST00000283296.12
ADGRF1	NM_153840.4	ENST00000371253.7
TNFRSF21	NM_014452.5	ENST00000296861.2
CD2AP	NM_012120.3	ENST00000359314.5
ADGRF4	NM_153838.5	ENST00000283303.3
OPN5	NM_181744.4	ENST00000371211.7
PTCHD4	NM_001384253.1	ENST00000339488.9
MMUT	NM_000255.4	ENST00000274813.4
CENPQ	NM_018132.4	ENST00000335783.4
GLYATL3	NM_001010904.2	ENST00000371197.9
C6orf141	NM_001145652.2	ENST00000529246.4
RHAG	NM_000324.3	ENST00000371175.10
CRISP2	NM_003296.4	ENST00000339139.5
CRISP3	NM_006061.4	ENST00000263045.9
PGK2	NM_138733.5	ENST00000304801.6
CRISP1	NM_001131.3	ENST00000335847.9
DEFB114	NM_001037499.2	ENST00000322066.4
DEFB113	NM_001037729.1	ENST00000398718.1
DEFB110	NM_001037497.2	ENST00000371148.3
DEFB112	NM_001369057.2	ENST00000651554.2
TFAP2D	NM_172238.4	ENST00000008391.4
TFAP2B	NM_003221.4	ENST00000393655.4
PKHD1	NM_138694.4	ENST00000371117.8
IL17A	NM_002190.3	ENST00000648244.1
IL17F	NM_052872.4	ENST00000336123.5
MCM3	NM_002388.6	ENST00000596288.7
PAQR8	NM_133367.5	ENST00000442253.3
EFHC1	NM_018100.4	ENST00000371068.11
TRAM2	NM_012288.4	ENST00000182527.4
TMEM14A	NM_014051.4	ENST00000211314.5
GSTA2	NM_000846.5	ENST00000493422.3
GSTA1	NM_145740.5	ENST00000334575.6
GSTA5	NM_153699.3	ENST00000370989.7
GSTA3	NM_000847.5	ENST00000211122.4
GSTA4	NM_001512.4	ENST00000370963.9
CILK1	NM_014920.5	ENST00000676107.1
LOC128092246	NM_001414897.1	ENST00000675098.1
FBXO9	NM_033480.3	ENST00000323557.12
LOC128031835	NM_001414736.1	ENST00000678782.1
GCM1	NM_003643.4	ENST00000259803.8
ELOVL5	NM_021814.5	ENST00000304434.11
GCLC	NM_001498.4	ENST00000650454.1
KLHL31	NM_001003760.5	ENST00000370905.4
LRRC1	NM_018214.5	ENST00000370888.6
MLIP	NM_001281747.2	ENST00000502396.6
TINAG	NM_014464.4	ENST00000259782.9
FAM83B	NM_001010872.3	ENST00000306858.8
HCRTR2	NM_001384272.1	ENST00000370862.4
GFRAL	NM_207410.2	ENST00000340465.2
HMGCLL1	NM_001042406.2	ENST00000274901.9
BMP5	NM_021073.4	ENST00000370830.4
COL21A1	NM_030820.4	ENST00000244728.10
DST	NM_001374736.1	ENST00000680361.1
BEND6	NM_152731.3	ENST00000370746.8
KIAA1586	NM_020931.4	ENST00000370733.5
ZNF451	NM_001031623.3	ENST00000370706.9
BAG2	NM_004282.4	ENST00000370693.5
RAB23	NM_016277.5	ENST00000468148.6
PRIM2	NM_000947.5	ENST00000615550.5
KHDRBS2	NM_152688.4	ENST00000281156.5
FKBP1C	NM_001395980.1	ENST00000370659.2
LGSN	NM_016571.3	ENST00000370657.9
PTP4A1	NM_003463.5	ENST00000626021.3
LOC128125822	NM_001415059.2	ENST00000715520.1
PHF3	NM_001370348.2	ENST00000262043.8
EYS	NM_001142800.2	ENST00000503581.6
ZC3H11C	NM_001271675.2	ENST00000398578.3
ADGRB3	NM_001704.3	ENST00000370598.6
LOC127898563	NM_001414704.1	ENST00000683102.1
LMBRD1	NM_018368.4	ENST00000649934.3
COL19A1	NM_001858.6	ENST00000620364.5
COL9A1	NM_001851.6	ENST00000357250.11
FAM135A	NM_001162529.3	ENST00000418814.7
SDHAF4	NM_145267.3	ENST00000370474.4
SMAP1	NM_001044305.3	ENST00000370455.8
B3GAT2	NM_080742.3	ENST00000230053.11
OGFRL1	NM_024576.5	ENST00000370435.5
RIMS1	NM_014989.7	ENST00000521978.6
KCNQ5	NM_019842.4	ENST00000370398.6
KHDC1L	NM_001126063.3	ENST00000370388.4
KHDC1	NM_030568.5	ENST00000257765.10
DPPA5	NM_001025290.3	ENST00000370370.4
KHDC3L	NM_001017361.3	ENST00000370367.4
OOEP	NM_001080507.3	ENST00000370359.6
DDX43	NM_018665.3	ENST00000370336.5
CGAS	NM_138441.3	ENST00000370315.4
MTO1	NM_012123.4	ENST00000498286.6
EEF1A1	NM_001402.6	ENST00000309268.11
SLC17A5	NM_012434.5	ENST00000355773.6
CD109	NM_133493.5	ENST00000287097.6
COL12A1	NM_004370.6	ENST00000322507.13
COX7A2	NM_001366293.2	ENST00000684430.2
TMEM30A	NM_018247.4	ENST00000230461.11
FILIP1	NM_015687.5	ENST00000237172.12
SENP6	NM_015571.4	ENST00000447266.7
MYO6	NM_004999.4	ENST00000369977.8
IMPG1	NM_001563.4	ENST00000369950.8
HTR1B	NM_000863.3	ENST00000369947.5
MEI4	NM_001322247.2	ENST00000684080.1
IRAK1BP1	NM_001010844.4	ENST00000369940.7
PHIP	NM_017934.7	ENST00000275034.5
HMGN3	NM_001201363.2	ENST00000620514.2
LCA5	NM_001122769.3	ENST00000369846.9
SH3BGRL2	NM_031469.4	ENST00000369838.6
ELOVL4	NM_022726.4	ENST00000369816.5
TTK	NM_003318.5	ENST00000369798.7
BCKDHB	NM_183050.4	ENST00000320393.9
TENT5A	NM_017633.3	ENST00000320172.11
IBTK	NM_015525.4	ENST00000306270.12
TPBG	NM_001376922.1	ENST00000369750.4
UBE3D	NM_198920.3	ENST00000369747.8
DOP1A	NM_015018.4	ENST00000349129.7
PGM3	NM_015599.3	ENST00000513973.6
RWDD2A	NM_033411.5	ENST00000369724.5
ME1	NM_002395.6	ENST00000369705.4
PRSS35	NM_153362.3	ENST00000369700.4
SNAP91	NM_001242792.2	ENST00000369694.7
RIPPLY2	NM_001009994.3	ENST00000369689.6
CYB5R4	NM_016230.4	ENST00000369681.10
MRAP2	NM_138409.4	ENST00000257776.5
CEP162	NM_014895.4	ENST00000403245.8
TBX18	NM_001080508.3	ENST00000369663.10
NT5E	NM_002526.4	ENST00000257770.8
SNX14	NM_153816.6	ENST00000314673.8
SYNCRIP	NM_006372.5	ENST00000369622.8
HTR1E	NM_000865.3	ENST00000305344.7
CGA	NM_000735.4	ENST00000627148.3
ZNF292	NM_015021.3	ENST00000369577.8
GJB7	NM_198568.3	ENST00000525899.6
SMIM8	NM_001042493.3	ENST00000392863.6
C6orf163	NM_001010868.3	ENST00000388923.5
CFAP206	NM_001031743.3	ENST00000369562.9
SLC35A1	NM_006416.5	ENST00000369552.9
RARS2	NM_020320.5	ENST00000369536.10
ORC3	NM_012381.4	ENST00000392844.8
AKIRIN2	NM_018064.4	ENST00000257787.6
SPACA1	NM_030960.3	ENST00000237201.2
CNR1	NM_016083.6	ENST00000369501.3
RNGTT	NM_003800.5	ENST00000369485.9
PNRC1	NM_006813.3	ENST00000336032.4
PM20D2	NM_001010853.3	ENST00000275072.5
SRSF12	NM_080743.5	ENST00000452027.3
GABRR1	NM_002042.5	ENST00000454853.7
GABRR2	NM_002043.5	ENST00000402938.4
UBE2J1	NM_016021.3	ENST00000435041.3
RRAGD	NM_021244.5	ENST00000369415.9
ANKRD6	NM_001242809.2	ENST00000339746.9
LYRM2	NM_020466.5	ENST00000523377.2
MDN1	NM_014611.3	ENST00000369393.8
GJA10	NM_032602.2	ENST00000369352.1
BACH2	NM_021813.4	ENST00000257749.9
MAP3K7	NM_145331.3	ENST00000369329.8
EPHA7	NM_004440.4	ENST00000369303.9
MANEA	NM_024641.4	ENST00000358812.9
FUT9	NM_006581.4	ENST00000302103.6
UFL1	NM_015323.5	ENST00000369278.5
FHL5	NM_001322466.2	ENST00000450218.6
GPR63	NM_030784.4	ENST00000229955.4
NDUFAF4	NM_014165.4	ENST00000316149.8
KLHL32	NM_052904.4	ENST00000369261.9
MMS22L	NM_001350599.2	ENST00000683635.1
POU3F2	NM_005604.4	ENST00000328345.8
FBXL4	NM_001278716.2	ENST00000369244.7
FAXC	NM_032511.4	ENST00000389677.6
COQ3	NM_017421.4	ENST00000254759.8
PNISR	NM_032870.4	ENST00000369239.10
USP45	NM_001346022.3	ENST00000500704.7
CCNC	NM_005190.4	ENST00000520429.6
PRDM13	NM_021620.4	ENST00000369215.5
MCHR2	NM_001040179.2	ENST00000281806.7
SIM1	NM_005068.3	ENST00000369208.8
ASCC3	NM_006828.4	ENST00000369162.7
GRIK2	NM_021956.5	ENST00000369134.9
HACE1	NM_020771.4	ENST00000262903.9
LIN28B	NM_001004317.4	ENST00000345080.5
BVES	NM_001199563.2	ENST00000314641.10
POPDC3	NM_022361.5	ENST00000254765.4
PREP	NM_002726.5	ENST00000652536.2
PRDM1	NM_001198.4	ENST00000369096.9
ATG5	NM_004849.4	ENST00000369076.8
